slug,output_file,output_dimensions,size_kb,source_file,source_dimensions
a-new-heap,a-new-heap.webp,1200x675,71.9,binary_heap_operation_and_visualization.png,1672x941
a2-go,a2-go.webp,1200x675,150.1,ar_campus_exploration_game_mockup.png,1672x941
advanced-lc2k-assembler,advanced-lc2k-assembler.webp,1200x675,104.9,lc2k_assembly_pipeline_diagram.png,1672x941
application-security-exploits,application-security-exploits.webp,1200x675,122.8,cybersecurity_workspace_and_exploit_chain.png,1672x941
back-to-the-ship,back-to-the-ship.webp,1200x675,106.3,pathfinding_algorithm_visualization_dashboard.png,1672x941
bisdorf-org,bisdorf-org.webp,1200x675,73.9,dark_theme_developer_portfolio_showcase.png,1672x941
cache-simulator,cache-simulator.webp,1200x675,84.0,cache_memory_lookup_diagram.png,1672x941
combinational-calculator,combinational-calculator.webp,1200x675,77.1,futuristic_digital_logic_circuit_interface.png,1672x941
cryptography-attacks,cryptography-attacks.webp,1200x675,122.1,cryptography_attack_and_defense_infographic.png,1672x941
cse-simulator-vr-game,cse-simulator-vr-game.webp,1200x675,143.4,futuristic_vr_classroom_with_holographic_interface.png,1672x941
dancear,dancear.webp,1200x675,109.1,futuristic_dance_training_with_ar_overlays.png,1672x941
debugging-automation,debugging-automation.webp,1200x675,96.3,automated_debugging_and_root_cause_analysis.png,1672x941
decrypting-blockchain-the-art-of-the-steal,decrypting-blockchain-the-art-of-the-steal.webp,1200x675,93.2,cryptocurrency_forensic_analysis_dashboard.png,1672x941
defect-detection,defect-detection.webp,1200x675,106.6,industrial_defect_inspection_interface_design.png,1672x941
detecting-dirty-dish-culprits,detecting-dirty-dish-culprits.webp,1200x675,101.2,surveillance_dashboard_in_a_kitchen_setting.png,1672x941
digital-forensics,digital-forensics.webp,1200x675,89.8,cyber_forensics_investigation_dashboard_ui.png,1672x941
euchre,euchre.webp,1200x675,108.5,euchre_game_strategy_in_action.png,1672x941
image-processing,image-processing.webp,1200x675,126.1,image_processing_dashboard_with_lighthouse_scene.png,1672x941
instruction-level-lc2k-simulator,instruction-level-lc2k-simulator.webp,1200x675,83.2,cpu_architecture_simulator_dashboard_overview.png,1672x941
lc2k-assembler,lc2k-assembler.webp,1200x675,99.7,lc2k_assembly_code_workflow_infographic.png,1672x941
lc2k-linker,lc2k-linker.webp,1200x675,99.2,linking_process_diagram_with_object_files.png,1672x941
lc2k-pipeline,lc2k-pipeline.webp,1200x675,90.1,cpu_pipeline_simulator_dashboard_view.png,1672x941
lc2k-recursive-function,lc2k-recursive-function.webp,1200x675,107.3,recursion_stack_frames_in_lc_2k_assembly.png,1672x941
machine-learning-classifier,machine-learning-classifier.webp,1200x675,71.4,machine_learning_model_dashboard_interface.png,1672x941
multiplication-in-assembly,multiplication-in-assembly.webp,1200x675,110.6,binary_multiplication_in_assembly_tutorial.png,1672x941
mutation-testing,mutation-testing.webp,1200x675,86.6,mutation_testing_dashboard_overview.png,1672x941
network-security,network-security.webp,1200x675,105.7,cybersecurity_network_operations_center_dashboard.png,1672x941
office-hours-queue-web-app,office-hours-queue-web-app.webp,1200x675,61.4,modern_office_hours_dashboard_interface.png,1672x941
open-source-contribution,open-source-contribution.webp,1200x675,90.7,github_dark_mode_workflow_dashboard.png,1672x941
pokemon,pokemon.webp,1200x675,169.6,fantasy_battle_strategy_and_team_roster.png,1672x941
priority-queues,priority-queues.webp,1200x675,100.0,priority_queue_operations_and_heap_tutorial.png,1672x941
renee,renee.webp,1200x675,66.8,futuristic_ai_assistant_dashboard_design.png,1672x941
ring-oscillator,ring-oscillator.webp,1200x675,108.7,ring_oscillator_circuit_analysis_infographic.png,1672x941
robbie,robbie.webp,1200x675,76.5,robot_control_dashboard_interface.png,1672x941
selector,selector.webp,1200x675,67.6,4_1_multiplexer_selector_diagram.png,1672x941
sequential-calculator,sequential-calculator.webp,1200x675,121.2,digital_calculator_ui_schematic_design.png,1672x941
sillyql,sillyql.webp,1200x675,85.2,sillyql_technical_dashboard_interface_design.png,1672x941
solar-powered-emergency-beacon,solar-powered-emergency-beacon.webp,1200x675,142.9,solar_powered_emergency_beacon_design.png,1672x941
statistics-engine,statistics-engine.webp,1200x675,101.1,futuristic_data_analytics_dashboard_interface.png,1672x941
statistics-toolkit,statistics-toolkit.webp,1200x675,97.9,statistics_toolkit_dashboard_mockup.png,1672x941
test-automation,test-automation.webp,1200x675,78.5,test_automation_dashboard_overview.png,1672x941
test-coverage,test-coverage.webp,1200x675,75.8,code_coverage_dashboard_overview.png,1672x941
traffic-light-controller,traffic-light-controller.webp,1200x675,130.4,traffic_light_controller_system_infographic.png,1672x941
up-down-counter,up-down-counter.webp,1200x675,82.0,neon_binary_counter_circuit_diagram.png,1672x941
web-security,web-security.webp,1200x675,80.6,cyber_security_dashboard_and_threats_overview.png,1672x941
